#PT eta phi vx vy vz charge
26.9364 -0.774445 -0.625016 0.00399819 -0.00100979 11.3368 -1
2.39274 0.156599 -0.725649 0.00312858 -8.90938e-05 -10.9514 1
3.12126 0.11799 -0.683168 -0.000924616 0.00107097 -11.9379 -1
7.09776 0.134674 -0.579044 -0.000112917 -0.000108734 -11.1329 1
27.0729 -0.86767 -0.65637 0.00126785 -0.000167887 11.3664 1
17.6754 -0.763837 -0.856077 -0.000451032 -0.000228455 10.3712 -1
4.43201 -0.715658 -0.805722 0.00221092 -6.15728e-05 10.5352 1
5.90495 0.199079 -0.697865 -0.00366137 -0.000693267 -13.2916 1
3.32318 0.0946844 -0.931466 2.10111e-05 0.00148378 -11.5063 -1
3.8567 -0.74845 -0.843547 0.00259107 -0.000967348 10.7143 -1
6.33702 -0.749096 -0.995882 0.00272816 0.00140782 10.3662 -1
7.93558 -0.891348 -0.776641 0.00199632 0.00108894 12.0921 1
9.36611 0.0904987 -0.912641 -0.00103344 0.000567324 -12.212 -1
27.2438 0.162205 -0.905467 -0.00290019 -4.42253e-05 -13.8622 1
2.66511 -0.755856 -0.662213 -0.000134298 -0.000635697 10.1066 1
2.28508 0.140955 -0.849694 -0.000639612 -0.000291228 -10.1263 -1
2.0235 -0.944703 -0.765374 0.00172917 -0.00030892 14.9669 -1
4.45521 0.148524 -0.804273 0.00110578 0.00110966 -12.5828 1
5.32306 -0.7609 -0.76399 0.000726213 -5.44616e-05 11.7869 1
2.07714 -0.900494 -0.848586 0.00150285 -0.00111209 14.5565 1
2.58831 0.276926 -0.687938 -0.000987575 -0.000174419 -14.5727 1
6.52731 -0.888508 -0.77531 -0.00310325 -5.0232e-05 11.6715 -1
2.58184 0.137494 -0.945165 -0.0016273 0.000275781 -12.1253 -1
2.54454 -0.822207 -0.810464 -0.00215635 -0.000100767 12.2997 -1
2.10222 0.112212 -0.769999 -0.00317776 0.000890411 -12.0406 1
2.65785 -0.791186 -0.840501 0.000932723 -0.000607366 11.5789 1
5.49883 -0.706855 -0.578585 -0.00167943 2.87178e-05 10.4675 1
3.18671 -0.807129 -0.745546 0.000695327 -0.00100746 10.4279 -1
2.001 -0.774832 -0.830716 0.00147475 -0.000101074 10.6194 -1
2.52179 0.189777 -0.892334 -0.000512732 -0.000507624 -11.7871 1
2.28371 -0.712435 -0.820243 0.00351637 -0.000205315 10.1357 1
7.03916 -0.768983 -0.613986 0.00290538 0.000118608 10.8865 -1
2.06554 0.0451916 -0.880327 0.00139124 -0.000568746 -10.6104 -1
2.5663 -0.825786 -0.578595 0.00185143 0.000568662 11.1368 1
2.10502 0.203602 -0.993354 0.00183358 -0.000235116 -11.6605 -1
2.13383 0.0255498 -0.806866 -0.00253356 0.000883673 -10.9338 -1
2.50708 -0.00196009 -0.560017 0.000379689 0.000314723 -10.0477 1
2.33543 0.0681118 -0.70448 0.00071119 -0.000679429 -10.0466 1
28.1775 -0.946156 -0.977851 -0.00166462 8.3026e-06 14.0974 -1
